Store,Name,Store Status,Address,City,State,Zip Code,Store Address,Report Date
8804,TOPPLING GOLIATH BREWING COMPANY,I,1600 PROSPERITY RD,DECORAH,IA,52101,POINT (-91.72683 43.2739),01/01/2025
5223,CASEY'S GENERAL STORE #1503 / TABOR,A,721 MAIN ST,TABOR,IA,51653,POINT (-95.67135 40.89935),01/01/2025
4267,MAIN STREET MARKET OF ANITA,I,735 MAIN ST,ANITA,IA,50020,POINT (-94.76535 41.44487),01/01/2025
6207,DUBUQUE TOBACCO & GROCERY / DUBUQUE,I,1248 IOWA STREET,DUBUQUE,IA,52001,POINT (-90.66805 42.50479),01/01/2025
6272,THURSTY THURSTON'S LIQUOR / CLARENCE,A,512 LOMBARD STREET,CLARENCE,IA,52216,POINT (-91.05697 41.88874),01/01/2025
4884,TOBACCO HUT #11 / SIOUX CITY,A,"4523, MORNINGSIDE AVE",SIOUX CITY,IA,51106,POINT (-96.34874 42.47048),01/01/2025
4923,CASEY'S GENERAL STORE #2270 / AURELIA,A,100 PEARL ST,AURELIA,IA,51005,POINT (-95.4376 42.71212),01/01/2025
010343,ROAD RANGER #144 / ELK RUN HEIGHTS,A,100 PLAZA DRIVE,ELK RUN HEIGHTS,IA,50707,POINT (-92.2478 42.46173),01/01/2025
5156,CASEY'S GENERAL STORE #1020  / LE CL,A,210 JONES ST,LE CLAIRE,IA,52753,POINT (-90.34597 41.59856),01/01/2025
5604,CASEY'S GENERAL STORE #1599 / MT VERNON,A,323 HWY 30 W,MOUNT VERNON,IA,52314,POINT (-91.42454 41.91669),01/01/2025
5918,THE SNACK SHACK #2 / WATERLOO,I,189 W 11TH ST,WATERLOO,IA,50702,POINT (-92.33217 42.49037),01/01/2025
3626,WAL-MART 2714 / SPENCER,A,500  11TH ST,SPENCER,IA,51301,POINT (-95.15207 43.14863),01/01/2025
4424,CIRCLE K #4706601 / BURLINGTON,A,1012 MAPLE ST,BURLINGTON,IA,52601,POINT (-91.11229 40.80456),01/01/2025
9031,LONELY OAK DISTILLERY (ET),I,1833 ELMWOOD RD,EARLING,IA,51530,POINT (-95.47983 41.77097),01/01/2025
5120,CASEY'S GENERAL STORE #3442 / MAPLET,A,"401, S  4TH  ST",MAPLETON,IA,51034,POINT (-95.79328 42.16173),01/01/2025
9041,S&B FARMS DISTILLERY (ET),I,212 E RAMSEY ST.,BANCROFT,IA,50517,POINT (-94.21545 43.29297),01/01/2025
5682,AMBYSURE INC / CLINTON,A,1641 S BLUFF BLVD,CLINTON,IA,52732,POINT (-90.22549 41.83321),01/01/2025
010018,KWIK STAR #710 / TOLEDO,A,1002 SOUTH COUNTY RD,TOLEDO,IA,52342,POINT (-92.58167 41.98613),01/01/2025
5360,SUPER SAVER LIQUOR,I,1610 ROCKINGHAM RD,DAVENPORT,IA,52802,POINT (-90.59928 41.52029),01/01/2025
4000,FOODLAND SUPER MARKETS / WOODBINE,A,62 5TH ST,WOODBINE,IA,51579,POINT (-95.70297 41.73704),01/01/2025
4608,CASEY'S GENERAL STORE #3050 / COUNCIL BLUFFS,A,"510, 23RD AVE",COUNCIL BLUFFS,IA,51503,POINT (-95.85269 41.23941),01/01/2025
010493,LONE TREE BP / LONE TREE,A,122 DEVOE STREET SOUTH,LONETREE,IA,52755,POINT (-91.4257 41.48638),01/01/2025
010139,FAS MART #553 / COUNCIL BLUFFS,A,611 EAST BROADWAY,COUNCIL BLUFFS,IA,51503,POINT (-95.83902 41.26673),01/01/2025
5768,CASEY'S GENERAL STORE #1886 / OTTUMWA,A,504 W MARY ST,OTTUMWA,IA,52501,POINT (-92.42925 40.99477),01/01/2025
5952,KWIK SPIRITS #537 / IOWA CITY,A,923 S RIVERSIDE DR,IOWA CITY,IA,52246,POINT (-91.54018 41.64901),01/01/2025
010276,KWIK STAR #715 / WATERLOO,A,135 EAST RIDGEWAY AVENUE,WATERLOO,IA,50702,POINT (-92.35516 42.46941),01/01/2025
5190,GUPPY'S ON THE GO / WALFORD,I,200 HWY 151 E,WALFORD,IA,52351,POINT (-91.83344 41.87841),01/01/2025
5783,CASEY'S GENERAL STORE #2319 / FT MADISON,A,1428 38TH ST,FORT MADISON,IA,52627,POINT (-91.36181 40.62416),01/01/2025
4519,CASEY'S GENERAL STORE #2923 / WDM,A,1850 22ND ST,WEST DES MOINES,IA,50266,POINT (-93.73696 41.59947),01/01/2025
010417,SPEEDY GAS N SHOP / COUNCIL BLUFFS,A,2024 5TH AVE,COUNCIL BLUFFS,IA,51501,POINT (-95.8751 41.25756),01/01/2025
4702,WALGREENS #05361 / FORT DODGE,A,2503 5TH AVE S,FORT DODGE,IA,50501,POINT (-94.16252 42.5012),01/01/2025
